dataset,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
Before Election,0,ধানের শীষে ভোট দিবো মিলেমিশে চান্দা তুলবো,ধানের শীষে ভোট দিবো মিলেমিশে চান্দা তুলবো,0,0.5649402634797636
Before Election,1,"সবাই মিলে করবো কাজ, নেতা মোদের HSC পাস",সবাই মিলে করবো কাজ নেতা মোদের hsc পাস,0,0.8845591327902247
Before Election,2,"ফ্যামিলি কার্ড সাথে আছে পরকাল, শুনে হাসি পাইলো",ফ্যামিলি কার্ড সাথে আছে পরকাল শুনে হাসি পাইলো,4,0.733048432446062
Before Election,3,দেখ খাম্বার মুরিদেরা জান্নাতের টিকেট কে দেয়,দেখ খাম্বার মুরিদেরা জান্নাতের টিকেট কে দেয়,4,0.48373782854565917
Before Election,4,বিম্পি দেখি মাগনা টিকেট দিতেছে!,বিম্পি দেখি মাগনা টিকেট দিতেছে,3,0.7324992771026424
Before Election,5,এখন কি বিএনপিও জান্নাতের টিকেট বিক্রি করছে? এটা নিয়ে বিএনপির ৯ জনকে দেখলাম বিক্রি করতে,এখন কি বিএনপিও জান্নাতের টিকেট বিক্রি করছে এটা নিয়ে বিএনপির জনকে দেখলাম বিক্রি করতে,4,0.8992165481376387
Before Election,6,খাম্বা তারেক জানেন নাকি,খাম্বা তারেক জানেন নাকি,4,0.43325663217344035
Before Election,7,বিএনপির ছাপড়ি গুলো কি টিকেট পাইছে,বিএনপির ছাপড়ি গুলো কি টিকেট পাইছে,3,0.798384346624013
Before Election,8,বিএনপি ভাইয়েরা ভালো করে দেখেন কারা জান্নাতের টিকিট দিচ্ছে,বিএনপি ভাইয়েরা ভালো করে দেখেন কারা জান্নাতের টিকিট দিচ্ছে,4,0.8851861609778169
Before Election,9,গাঞ্জা ইফেক্ট,গাঞ্জা ইফেক্ট,2,0.5999581381618349
Before Election,10,এই বি এন পির নেতা গুলোকে স্কিপ্ট লিখে দেয় কে,এই বি এন পির নেতা গুলোকে স্কিপ্ট লিখে দেয় কে,1,0.8657340378154437
Before Election,11,ওরে বাটপার,ওরে বাটপার,0,0.7333230279037725
Before Election,12,বিএনপি মানেই বিনোদন!,বিএনপি মানেই বিনোদন,1,0.7313088759989899
Before Election,13,ধানের শীষে ভোট দিলেই জান্নাত কনফার্ম,ধানের শীষে ভোট দিলেই জান্নাত কনফার্ম,3,0.8854882595894201
