Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...…,Dhaka,,,Negative,0.416875654002546,model_autofill,False
সত্যি হাসি পাই আদু ভাই রাকিবের দৌড় দেখে!,Dhaka,Narail,,Neutral,0.5342658907282252,model_autofill,False
"""শরীরের ওজন কমতেছে। এটা তো ভালো বিষয়, কষ্ট পাওয়ার কি আছে!!!",Dhaka,,,Negative,0.4030426400617062,model_autofill,False
এটা আরো আনন্দের বিষয় এখানে কষ্টের কিছু নেই,Dhaka,Chittagong,Patuakhali,Negative,0.3519575157588473,auto_second_pass_kept,False
যদি তার জন্য আপনার পায়ে ব্যথা হয় তো তেল লাগান মালিশ করেন ব্যথা ভুলে যান।,Dhaka,,,Sarcastic_negative,0.5375642483193886,model_autofill,False
এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি।,Dhaka,,,Positive,0.6641798515866328,auto_second_pass_changed,False
আমাদেরও কষ্ট হয় যখন দেখি আপনি নিজের চিন্তা করে …,Rajshahi,Pabna,,Negative,0.4342812656683425,model_autofill,False
কেন ভাই আপনার দৌড়াতে মন চাইলে আপনি ও দৌড়াবেন জ্বালার কি আছে,Dhaka,Manikganj,Narayanganj,Sarcastic_negative,0.7752074678316894,model_autofill,False
আহা জমিদারের ফুত তুমি একটা গাড়ি কিনে দাও,ঢাকা,চট্টগ্রাম,রংপুর,Sarcastic_negative,0.670505138716017,model_autofill,False
আহারে জমিদারের পুতেরে একটু সুযোগ দে ভাই,Dhaka,Mymensingh,,Sarcastic_negative,0.6614124846924704,model_autofill,False
"""যে যা করে শান্তি পায়, করুক !",Dhaka,,,Positive,0.6229348470451723,model_autofill,False
আমার মনে হয় ওনার খুব দৌড়াইতে মন চাইতেছে,Barishal,,,Negative,0.6713961885165957,model_autofill,False
