dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
2 After Election,2_after_election,0,জিলাপি আছে নাকি?,জিলাপি আছে নাকি,3,0.5978584960135854
2 After Election,2_after_election,1,"Anayet Ahamed: জি ভাই, পুরো ইফতারের সামগ্রী ছিল!!",anayet ahamed জি ভাই পুরো ইফতারের সামগ্রী ছিল,4,0.5483214317723508
2 After Election,2_after_election,2,দাঁড়িপাল্লার জয় হবে ইনশাআল্লাহ।,দাঁড়িপাল্লার জয় হবে ইনশাআল্লাহ,0,0.7998234768961624
2 After Election,2_after_election,3,"হ, ঈদের দিন আজ।",হ ঈদের দিন আজ,1,0.7300406497731668
2 After Election,2_after_election,4,সবার আগে বাংলাদেশ।,সবার আগে বাংলাদেশ,2,0.5985177707977918
2 After Election,2_after_election,5,ঢাকা ৪,ঢাকা,3,0.5989489698973934
2 After Election,2_after_election,6,ঢাকা ১৩,ঢাকা,3,0.5989489698973934
2 After Election,2_after_election,7,হাতিয়া ৬,হাতিয়া,0,0.2
2 After Election,2_after_election,8,গাজীপুর ৩,গাজীপুর,0,0.2
2 After Election,2_after_election,9,ভোট চুরির খবর অলরেডি পাওয়া যাচ্ছে। প্রশাসন নিরব ভূমিকা পালন করতাছে।,ভোট চুরির খবর অলরেডি পাওয়া যাচ্ছে প্রশাসন নিরব ভূমিকা পালন করতাছে,2,0.6363937669108624
2 After Election,2_after_election,10,দালাল নিউজ এগুলো কই??,দালাল নিউজ এগুলো কই,3,0.43976582878668335
2 After Election,2_after_election,11,দুর্নীতিবাজদের রুখে দাও।,দুর্নীতিবাজদের রুখে দাও,3,0.7278913649592398
2 After Election,2_after_election,12,দাঁড়িপাল্লায় ভোট দাও।,দাঁড়িপাল্লায় ভোট দাও,3,0.7930187391603779
2 After Election,2_after_election,13,"আপনার মূল্যবান ভোটটি, ইনসাফের বাংলাদেশ গড়ার লক্ষ্যে, দাঁড়িপাল্লায় দিন।",আপনার মূল্যবান ভোটটি ইনসাফের বাংলাদেশ গড়ার লক্ষ্যে দাঁড়িপাল্লায় দিন,3,0.7981554346570262
2 After Election,2_after_election,14,ইউরোপ-আমেরিকা-জাপান এক ই অক্ষ শক্তি।,ইউরোপ আমেরিকা জাপান এক ই অক্ষ শক্তি,2,0.5989046551692622
2 After Election,2_after_election,15,খেলা যে চলছে কোন লেভেলে!,খেলা যে চলছে কোন লেভেলে,2,0.839711137249152
