Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ।,,,,Positive,0.3464153765939562,auto_second_pass_kept,True
"নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা। আশা করি, আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন। আপনাদের সৎ নেতৃত্ব, দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে—এই প্রত্যাশাই রইল।",,,,Negative,0.3846125950278465,auto_second_pass_kept,True
দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত -এনসিপি।,,,,Negative,0.5870146877195251,model_autofill,False
অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো।,,,,Negative,0.4563606496742163,model_autofill,True
আলহামদুলিল্লাহ l,,,,Positive,0.6938070689355245,model_autofill,False
শুভকামনা রইল l,,,,Sarcastic_negative,0.5136699816049957,model_autofill,False
বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,,,,Positive,0.3793833616304457,auto_second_pass_kept,True
সরকার গঠন করে,,,,Positive,0.3972519180277349,model_autofill,True
তারেক রহমানের,,,,Positive,0.4354365903174676,model_autofill,True
বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ।,,,,Positive,0.8839910590249664,model_autofill,False
আলহামদুলিল্লাহ,,,,Positive,0.6938070689355245,model_autofill,False
ব্রেকিং,,,,Sarcastic_negative,0.3810018476138929,auto_second_pass_kept,True
বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না ।,,,,Negative,0.8655839088978776,model_autofill,False
- সালাউদ্দিন আহমেদ,,,,Neutral,0.6356798909905284,model_autofill,False
বাংলাদেশ আবার পথ হারালো হয়তো ।,,,,Positive,0.5201353554144799,model_autofill,False
"ক্রাস খায়েননা,যে ভাবে থাকি আছে আমাদের লিডার।",,,,Negative,0.6638007196637108,model_autofill,False
এই-যে আপনাকে বলছি শুনোন শপথ সুন্দর ভাবে করুন দে-শ যেনো ভালো চলে,,,,Negative,0.4075779819257793,model_autofill,True
না হলে মন্ত্রী হিসেবে ব্যর্থ হবেন,,,,Neutral,0.9065212452896606,model_autofill,False
দীর্ঘ প্রায় ২০ বছর পরে ক্ষমতায় যাচ্ছেন,,,,Negative,0.4699561677749546,model_autofill,True
শুভকামনা রইল,,,,Sarcastic_negative,0.5136699816049957,model_autofill,False
বাংলাদেশের জাতি চুটিয়া জাতি এই জাতির ভাগ্য পরিবর্তন হবে না,,,,Negative,0.391925651000832,auto_second_pass_kept,True
এত টুপি গেল কোথায়?,,,,Sarcastic_negative,0.5407220390914346,model_autofill,False
জুলাইয়ের সাথে বিম্পির গাদ্দারি,,,,Sarcastic_negative,0.375071419854887,auto_second_pass_kept,True
জুলাই যোদ্ধা রা রেডি থাকো দেশে আরও একটা কঠিন থেকে কঠিন লড়াই হবে লড়াই,,,,Neutral,0.8186020926505171,model_autofill,False
জুলাই এর হাতিয়ার গর্জে উঠোক আরেক বার,,,,Sarcastic_negative,0.3849196280392124,auto_second_pass_kept,True
পল্টি নেওয়া শুরু তাইলে..,,,,Sarcastic_negative,0.4467533810955582,model_autofill,True
এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,,,,Positive,0.30994590884822,auto_second_pass_kept,True
এইতো মাত্র লাইনে আসা শুরু করছে।,,,,Negative,0.4277912571206947,model_autofill,True
সামনে আরো ইন্টারেস্টিং কিছু অপেক্ষা করতেছে আশা করা যায়,,,,Sarcastic_negative,0.3312611937709107,auto_second_pass_kept,True
"কারো কথাই, সমালোচনায় কান দিয়োনা , নিজে নিজে এগিয়ে যাও ভারতের দিকে",,,,Sarcastic_negative,0.3876221403434558,auto_second_pass_kept,True
পল্টি নেওয়া শুরু তাইলে.. সবাই মিলে মিশে থাকা উচিত,,,,Negative,0.3465001278932271,auto_second_pass_kept,True
হাসু আপুর সংবিধানই থাকলে হাসু আপুই বৈধ প্রধানমন্ত্রী।,,,,Sarcastic_negative,0.3477368880857945,auto_second_pass_kept,True
জুলাই আন্দোলনে কারনেই আজ BNP শপথ নিতে পেরেছে। নইলে “ঈদের পর আন্দোলন” বলে বলে বলে বলে ১৭ বছরের সাথে আর কত ১৭ বছর যেতো আল্লাহ জানেন ।,,,,Positive,0.3392319682052657,auto_second_pass_kept,True
মন থেকে বিএনপিকে ধন্যবাদ জানাই এরকম যুগান্তকারী একটা সিদ্ধান্ত নেওয়ার জন্য,,,,Negative,0.3576605865841564,auto_second_pass_kept,True
১৯৯৬ সালে বিএনপি কত দিন ক্ষমতায় ছিল,,,,Negative,0.828174515697979,model_autofill,False
The Constitution of 1972 is the best in the entire world.,,,,Neutral,0.4669798462326713,model_autofill,True
"সমস্যা নাই বেইমানদের তো চিনলো জনগণ, খুব শীঘ্রই কিছু একটা ঘটতে যাচ্ছে।",,,,Sarcastic_negative,0.4436418161739298,model_autofill,True
"তাহলে তো হাসু আপার সংবিধানে তিনিই এখনো প্রধানমন্ত্রী, তাকে তার দায়িত্ব বুজিয়ে দেয়া হোক",,,,Positive,0.4259176315766108,model_autofill,True
Think ache.polapainr kothai BNP cholbe naki,,,,Sarcastic_negative,0.4395975808592544,model_autofill,True
সংস্কারের পক্ষে শপথ না নিলে মেয়াদ দিলাম সর্বোচ্চ ২বছর,,,,Negative,0.316780963587919,auto_second_pass_kept,True
যুগের পরে যুগ ইতিহাসে লেখা আছে গাদ্দারী তো ওরাই করে যাদের অস্তিত্ব বিলিনের পথে যখন তারা স্বস্তি ফিরে পায়,,,,Negative,0.5227227687536323,model_autofill,False
"বিএনপি আওয়ামী লীগ ভাই ভাই, মিলেমিশে ভাগ করে খাই, তাই খাওয়ার জন্য সংস্করণ শপথ নিবে না",,,,Positive,0.3621916638672113,auto_second_pass_kept,True
ওরা চায় না সংস্কার হোক,,,,Sarcastic_negative,0.320242860481563,auto_second_pass_kept,True
শনির দশার অপেক্ষায়,,,,Negative,0.453167062024215,model_autofill,True
জুলাই এর সঙ্গে বেইমানি করলে এদেশে আবারো জুলাই নেমে আসবে ইনশাআল্লাহ...,,,,Positive,0.5279679167558625,model_autofill,False
"এখানে এত অবাক হওয়ার কি আছে, বিনপি এমন পোল্টি মারবে তা তো সবার জানা থাকার কথা। নির্বাচন এ যা করছে তাতে না বুঝার কিছুই নাই এরা ভবিষ্যত এ ভালো কিছুই করবে না।",,,,Negative,0.3870688926508797,auto_second_pass_kept,True
"মাহদী আগমন করেছেন, আজই তাঁর প্রতি আনুগত্য ও সমর্থনের অঙ্গীকার করুন!",,,,Negative,0.3420973792997313,auto_second_pass_kept,True
নবী মুহাম্মদ (সা. ও তাঁর পরিবার) বলেছেন:,,,,Positive,0.4815167403042097,model_autofill,True
"“যে ব্যক্তি তার সময়ের ইমামের প্রতি আনুগত্য (বাইআত) না করে মৃত্যুবরণ করে, সে জাহেলিয়াতের মৃত্যুবরণ করেছে।""",,,,Positive,0.4998373503227676,model_autofill,True
YouTube : The Mahdi Has Appeared.,,,,Neutral,0.430508767220832,model_autofill,True
তাহলে এ নির্বাচনের মানে কি,,,,Sarcastic_negative,0.6187800904247834,model_autofill,False
শুরু হচ্ছে তাহলে,,,,Negative,0.334846010318125,auto_second_pass_kept,True
"17 বছর পর ও কিন্ত আওয়ামীলীগ অপমানিত হয়ে দেশ ছাড়তে হইছে ,, এটা মাথায় রাখা ভাল,, না হলে ,,,Another terrible revolution awaits us",,,,Negative,0.3802000202882466,auto_second_pass_kept,True
Aita agai Jana silo Amon e hobe..,,,,Neutral,0.6117047647086356,model_autofill,False
Ai karone BNP support korina,,,,Sarcastic_negative,0.3556634044468862,auto_second_pass_kept,True
আরো কতো কি বাকি আছে সামনে ইনশাআল্লাহ,,,,Positive,0.6175235183675657,model_autofill,False
১২ দিন পরে নিবে,,,,Negative,0.3971783689358061,model_autofill,True
"ওহ নো,,,",,,,Sarcastic_negative,0.4454081373957271,model_autofill,True
জিনি খমতা দিতে পারে তিনি খমতা কেরেও নিতে পারে এটা নিয়ে চিন্তার কিছু নেই সকল খমতার মালিক হলো আল্লাহ নো টেনশোন,,,,Negative,0.5017033083044965,model_autofill,False
ব্যাপারটা চুদলিং সং হয়ে গেলো ।,,,,Negative,0.5627378631722779,model_autofill,False
এটাকে বলে ইউ টার্ন 360°,,,,Positive,0.514124925200634,model_autofill,False
শাবাশ,,,,Sarcastic_negative,0.3923645359533542,auto_second_pass_kept,True
"গুড ডিসিশন, বাঙ্গালীদের এভাবেই প্রতিদান দিতে হয়।",,,,Sarcastic_negative,0.3494152334630488,auto_second_pass_kept,True
আপনারা এগিয়ে যান আমি ফুল সাপোর্টে আছি,,,,Sarcastic_negative,0.5239648798849809,model_autofill,False
"দরকার হয় উচ্চ-কক্ষ বাতিল করেন আমি তাতেও রাজি।(এবার বুজবে মূর্খ বাঙালি কাদের ভোট দিছে,অশিক্ষিত বাঙালি)",,,,Positive,0.579637795349449,model_autofill,False
ইন্ডিয়ার এজেন্ট পার্টি,,,,Sarcastic_negative,0.3350764275460201,auto_second_pass_kept,True
নিজের পায়ে নিজেরাই কুড়াল মারতেছে,,,,Negative,0.6458180223753369,model_autofill,False
আওয়ামীলীগ স্টাইলে খেলা শুরু,,,,Sarcastic_negative,0.5619022186280171,model_autofill,False
Agula re party Gali dei na amaro dekhbo koydin thake,,,,Neutral,0.3961276970465356,auto_second_pass_kept,True
asol rup ta dekhai dilo asar sathe sathei.,,,,Sarcastic_negative,0.4037043876181324,model_autofill,True
অবিলম্বে জুলাই আন্দোলনের সর্বস্তরের জনতা আবার ঐক্য হতে হবে বি এন পি নামক নব্য ফ্যাসিবাদের পতনের ডাক দিয়ে এদেশের মাটি কে পবিত্র করতে হবে। বি এন পি নয় জুলাই চাই। বি এন পি কে দায়িত্ব নিয়ে শাখা প্রশাখা গজানোর আগেই কেটে ফেলতে হবে।,,,,Neutral,0.7033567355239232,model_autofill,False
যারা জনগণের গনোভোটের রায়'কে মানে 'না তারা ই আবার জনগনের দিয়া ভোটে সংসদে যেতে চায় কেমনে?,,,,Sarcastic_negative,0.4058005497320213,model_autofill,True
আবারও পুনমারামারী শুরু গরি দিইয়ি..,,,,Sarcastic_negative,0.380561398412341,auto_second_pass_kept,True
গিরগিট এর মত ক্ষমতায় এসে রং দেখানো শুরু হয়ে গেছে,,,,Sarcastic_negative,0.3981733726581349,model_autofill,True
সালারে কি পরিমানের বাটপারি করবে বুঝার বাকী নাই আর!,,,,Negative,0.7405256523410376,model_autofill,False
পল্টি নিলো জাতির সাথে বেইমানি,,,,Sarcastic_negative,0.4541771521258259,model_autofill,True
পল্টি বাজ,,,,Sarcastic_negative,0.5630528570058544,model_autofill,False
কোটা না মেধা,,,,Sarcastic_negative,0.4060559988183806,model_autofill,True
মেধা মেধা।,,,,Sarcastic_negative,0.439898292074155,model_autofill,True
সঠিক সিদ্ধান্ত ধন্যবাদ সরকার কে।,,,,Positive,0.5949152141161642,model_autofill,False
শপথ নেয়ার কি আছে জুলাই সনদ এটা চলমান প্রক্রিয়া,,,,Negative,0.7248328558336196,model_autofill,False
বিএনপিকে স্যালুট জানাই।,,,,Negative,0.9220387307247228,model_autofill,False
ওয়াকারকে সকল ক্ষমতা হস্তান্তর করা হোক,,,,Negative,0.45262899956094,model_autofill,True
"আমাদের সংবিধানে গণবিপ্লবের মুখে প্রধানমন্ত্রী পলাইয়া গেলে কি হবে এইটা বলা নাই। কাজেই কেউ চাইলে এইটা দাবি করতে পারে যে, সংবিধান অনুযায়ী হাসিনা এখনো বৈধ প্রধানমন্ত্রী। এবং সংবিধান অনুযায়ী এই নির্বাচন হবার কথা ছিল ২০২৮ সালে।",,,,Neutral,0.3990746608463968,model_autofill,True
সংবিধান অনুযায়ী ইউনুসের অন্তর্বর্তী সরকার অসাংবিধানিক। সংবিধানের কোথাও অন্তর্বর্তী সরকারের কথা লেখা নাইতো। কাজেই সংবিধান অনুযায়ী অন্তর্বর্তী সরকারের অধীনে করা নির্বাচনও অসাংবিধানিক।,,,,Negative,0.4761510356323828,model_autofill,True
"তো, সংসদ সদস্য হিসাবে আপনাদের শপথ কেমনে সাংবিধানিক হয়?",,,,Sarcastic_negative,0.7749302927042687,model_autofill,False
এতে পলাতক স্বৈরাচার ও দালালরা খুশি হবে এটাই তো স্বাভাবিক! বিএনপি'র পথ চলার শুরুটা কিই তবে আওয়ামী সঠতা দিয়ে?,,,,Neutral,0.4404938771577441,model_autofill,True
