Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...…,ঢাকা,Dhaka,,Negative,0.416875654002546,model_autofill,False
"""ওখানে ধরা খাবে তারপর সরকারিভাবে দেশের কারাগারে আসবে, দেশের আদালত মুক্ত করে দিবে। এটাই পলিটিক্স।""",Dhaka,Gazipur,,Positive,1.0,manual_second_pass,False
"""এভাবেই ফেরত আসবে,এটাই পলিটিক্স""",Dhaka,,,Negative,1.0,manual_second_pass,False
দেশে পাঠানোর একটা বৈধ প্রক্রিয়া মাত্র...,Dhaka,Rajshahi,Gazipur,Negative,0.5937880726764063,model_autofill,False
এটা দেশে প্রবেশের একটি প্রক্রিয়া মাত্র,Dhaka,Pabna,,Negative,0.7251837185679806,model_autofill,False
"""এখন থেকে প্রায়ই শুনা যাবে গ্রেফতারের খবর,,, ভারত সরকার এখন আর সাধারণ কর্মীদের তেমন গুরুত্ব দিবে না --- যারা পালিয়ে গেছে তাদের …""",Dhaka,,,Positive,0.698965907232538,model_autofill,False
বাংলাদেশের জেল থাকতে অন্যদেশের জেলে থাকবে কেন..?,Dhaka,,,Sarcastic_negative,0.4027959523353408,model_autofill,False
এটা একটা রাজনৈতিক চাল হতে পারে,Panchagarh,,,Positive,0.3983958872865722,model_autofill,False
ভারত কি তাহলে আওয়ামী লীগের সাথে পল্টি নিলো,Dhaka,,,Negative,0.4696366969743255,model_autofill,False
বিএনপির কাছে ভালো হওয়া আরকি।। তবে এরা ভিতরে ভালোই থাকবে কারণ ভারত হচ্ছে উমিচাঁদ এ…,Dhaka,Faridpur,,Negative,0.6146533429271961,model_autofill,False
আরও কিছু দেখার অপেক্ষায় রইলাম,ঢাকা,ব্রাহ্মণবাড়িয়া,Chittagong,Neutral,1.0,manual_second_pass,False
ধন্যবাদ জানাই,Tangail,,,Positive,0.6938366575905519,model_autofill,False
খাইছে রে..,মৌলভীবাজার,Sylhet,Moulvibazar,Sarcastic_negative,0.6567636689120354,model_autofill,False
এটা ভালো,Dhaka,,,Positive,0.4756686019424283,model_autofill,False
সম্ভবত ওদের খরচ করার মতো টাকা পয়সা শেষ,রাজশাহী,Rajshahi,Cox's Bazar,Positive,0.4911492272052301,model_autofill,False
