Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
জিলাপি আছে নাকি?,,,,Negative,0.3840043469924593,auto_second_pass_kept,True
"Anayet Ahamed: জি ভাই, পুরো ইফতারের সামগ্রী ছিল!!",,,,Sarcastic_negative,0.3658751541779687,auto_second_pass_kept,True
দাঁড়িপাল্লার জয় হবে ইনশাআল্লাহ।,,,,Positive,0.6719670649890155,model_autofill,False
"হ, ঈদের দিন আজ।",,,,Sarcastic_negative,0.3301117669670215,auto_second_pass_kept,True
সবার আগে বাংলাদেশ।,,,,Positive,0.8256836474469921,model_autofill,False
ঢাকা ৪,,,,Negative,0.4907135917212359,model_autofill,True
ঢাকা ১৩,,,,Negative,0.5005535503936573,model_autofill,False
হাতিয়া ৬,,,,Negative,0.3557953114720575,auto_second_pass_kept,True
গাজীপুর ৩,,,,Sarcastic_negative,0.4220185295586697,model_autofill,True
ভোট চুরির খবর অলরেডি পাওয়া যাচ্ছে। প্রশাসন নিরব ভূমিকা পালন করতাছে।,,,,Sarcastic_negative,0.6411288350609835,model_autofill,False
দালাল নিউজ এগুলো কই??,,,,Sarcastic_negative,0.4101969210130399,model_autofill,True
দুর্নীতিবাজদের রুখে দাও।,,,,Negative,0.3686344358119767,auto_second_pass_kept,True
দাঁড়িপাল্লায় ভোট দাও।,,,,Neutral,0.374580994665692,auto_second_pass_kept,True
"আপনার মূল্যবান ভোটটি, ইনসাফের বাংলাদেশ গড়ার লক্ষ্যে, দাঁড়িপাল্লায় দিন।",,,,Positive,0.7220756970526373,model_autofill,False
ইউরোপ-আমেরিকা-জাপান এক ই অক্ষ শক্তি।,,,,Negative,0.3880774666674958,auto_second_pass_kept,True
খেলা যে চলছে কোন লেভেলে!,,,,Sarcastic_negative,0.6104031278886917,model_autofill,False
"নতুন বাংলাদেশ বলে কোনো শব্দ নাই। সকল দলের অংশগ্রহণ নিশ্চিত করে নির্বাচন দেওয়া উচিত ছিল। এটা অন্যায় হয়েছে, সঠিক নয়—দেশের জনগণ কখনোই মানে না এসব।",,,,Positive,0.4900073168507832,model_autofill,True
"লোক নাই, জন নাই—কিন্তু মানুষ না থাকলেও ভোট কেমনে পড়তেছে? এটা খুবই দুঃখজনক ঘটনা। ১ ভোট পড়লেও তা হতে হবে স্বচ্ছতার মাধ্যমে। কোনো মারিক কাটিং বা ফলস ভোট দেওয়া যাবে না, নিরপেক্ষতা বজায় রাখতে হবে।",,,,Neutral,0.6257789302234344,model_autofill,False
২০০৮ সালে সকল দলের অংশগ্রহণ নিশ্চিত করে ভোট পড়ে ৮৭.১৩%।,,,,Negative,0.5828433249650318,model_autofill,False
