period,doc_id,comment,sentiment,sentiment_confidence,sentiment_source,location_raw,location_rank,location
after_forming_government,2504,[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...…,negative,0.416875654002546,provided,Dhaka,1,Dhaka
after_forming_government,2505,সত্যি হাসি পাই আদু ভাই রাকিবের দৌড় দেখে!,neutral,0.5342658907282252,provided,Dhaka,1,Dhaka
after_forming_government,2506,"""শরীরের ওজন কমতেছে। এটা তো ভালো বিষয়, কষ্ট পাওয়ার কি আছে!!!",negative,0.4030426400617062,provided,Dhaka,1,Dhaka
after_forming_government,2507,এটা আরো আনন্দের বিষয় এখানে কষ্টের কিছু নেই,negative,0.3519575157588473,provided,Dhaka,1,Dhaka
after_forming_government,2508,যদি তার জন্য আপনার পায়ে ব্যথা হয় তো তেল লাগান মালিশ করেন ব্যথা ভুলে যান।,sarcastic_negative,0.5375642483193886,provided,Dhaka,1,Dhaka
after_forming_government,2509,এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি।,positive,0.6641798515866328,provided,Dhaka,1,Dhaka
after_forming_government,2510,আমাদেরও কষ্ট হয় যখন দেখি আপনি নিজের চিন্তা করে …,negative,0.4342812656683425,provided,Rajshahi,1,Rajshahi
after_forming_government,2511,কেন ভাই আপনার দৌড়াতে মন চাইলে আপনি ও দৌড়াবেন জ্বালার কি আছে,sarcastic_negative,0.7752074678316894,provided,Dhaka,1,Dhaka
after_forming_government,2512,আহা জমিদারের ফুত তুমি একটা গাড়ি কিনে দাও,sarcastic_negative,0.670505138716017,provided,ঢাকা,1,Dhaka
after_forming_government,2513,আহারে জমিদারের পুতেরে একটু সুযোগ দে ভাই,sarcastic_negative,0.6614124846924704,provided,Dhaka,1,Dhaka
after_forming_government,2514,"""যে যা করে শান্তি পায়, করুক !",positive,0.6229348470451723,provided,Dhaka,1,Dhaka
after_forming_government,2515,আমার মনে হয় ওনার খুব দৌড়াইতে মন চাইতেছে,negative,0.6713961885165957,provided,Barishal,1,Barishal
after_forming_government,2516,এটা বরকতি দৌড়,negative,0.4466714831189007,provided,Dhaka,1,Dhaka
after_forming_government,2517,"""খনিকের ছেলে বলে কি, যে দৌড়ায় সে কষ্ট পায় না খনিকের ছেলে সার্ভিস মলম কষ্ট পায়",sarcastic_negative,0.302059533024222,provided,Dhaka,1,Dhaka
after_forming_government,2518,আমি কি হোনুরে।,negative,0.6896041446153698,provided,Dhaka,1,Dhaka
after_forming_government,2519,জ্বালা জ্বালা বুকে বড় জ্বালা,sarcastic_negative,0.5371343043741496,provided,চাঁপাইনবাবগঞ্জ,1,চাঁপাইনবাবগঞ্জ
after_forming_government,2520,মায়ের চেয়ে মাসির দরদ বেশি,negative,0.4060094777445659,provided,Khulna,1,Khulna
after_forming_government,2521,"""অন্য দের নিয়ে ভাবতে হবে না, নিজেকে নিয়ে ভাবেন,,",neutral,0.6289803408480737,provided,Dhaka,1,Dhaka
after_forming_government,2522,কারণ তুমিও একসময় এভাবে দৌঁড়ায় ছিলা,sarcastic_negative,0.4323712543523493,provided,Chittagong,1,Chattogram
after_forming_government,2523,"""কাল,থেকে তুমি দৌড়ে যাবা,তোমার চাকরি কনফার্ম ওকে",negative,0.5294627973472434,provided,Dhaka,1,Dhaka
after_forming_government,2524,"""ছাত্রলীগের এজেন্ট যখন বাইটে পইড়া জুলাই এজেন্ট হয়ে যায়, আমাদেরও হাঁসি পায়",negative,0.5011757534002592,provided,Chittagong,1,Chattogram
after_forming_government,2525,ছাপ্রীদের কাজ তো দৌড়ানোই...,sarcastic_negative,0.3560937053974806,provided,Rangpur,1,Rangpur
after_forming_government,2526,"""কিছু পর দৌড়ানো, ধাওয়াতে পৌছাবে",negative,0.4920245821866261,provided,Dhaka,1,Dhaka
after_forming_government,2527,"""রাকিবদের ছ্যাবলামো এটা পুরোনো অভ্যেস, সময় লাগবে ধীরে ধীরে পরিবর্তন হতে, তবে তার মন ভালো..! কিন্তু, ৫-ই আগস্ট পরবর্তী তোমার গাড়…",negative,0.4984563789527064,provided,Chittagong,1,Chattogram
after_forming_government,2528,দফাদার কুকুর মালিকের পিছনে দৌড়াবে এটাই তো স্বাভাবিক হোক সেটা গাড়ি হোক সেটা বাড়ি,negative,0.5241162030127526,provided,Dhaka,1,Dhaka
after_forming_government,2529,আহ্!দরদীরে।,sarcastic_negative,0.4972623049001892,provided,Dhaka,1,Dhaka
after_forming_government,2530,আর কি কি তোমাকে কষ্ট দেয় মনি,negative,0.3130327530966685,provided,Dhaka,1,Dhaka
after_forming_government,2531,সে কি ছাত্রদল সভাপতি?,sarcastic_negative,0.4753870208187254,provided,Sylhet,1,Sylhet
after_forming_government,2532,"""সময় থাকতে বুঝলো না , এক্ষণ বুঝে লাভ নেই । তোমাকে আর গাড়ির পেছনে নিবে না",negative,0.4182822678436434,provided,Khulna,1,Khulna
after_forming_government,2533,"""মায়ের চেয়ে,মাসির দরদ বেশি",negative,0.3920934415186843,provided,Dhaka,1,Dhaka
after_forming_government,2534,তোমার ইচ্ছা হইলে তুমি ও দৌড়াওনা ভাই।,sarcastic_negative,0.5026296221595539,provided,Dhaka,1,Dhaka
after_forming_government,2535,তোমাদের কথা ভুলে গেছ?,positive,0.8114454930857824,provided,Chittagong,1,Chattogram
after_forming_government,2536,ছাত্রলীগের সাদ্দামের গাড়ির পিছনে দৌড়ানোর গুলা মনে পরে যায় হয়ত,negative,0.4757484308053091,provided,Dhaka,1,Dhaka
after_forming_government,2537,তোমাদের তো কষ্ট হবেই ভাই,neutral,0.9230403014609588,provided,Mymensingh,1,Mymensingh
after_forming_government,2538,আমাদেরকে বিনোদনদেয় ভাই এগুলা বইলেন না পরে বিনোদন মিস করবো,negative,0.8262265972212244,provided,Dhaka,1,Dhaka
after_forming_government,2539,কে কার পিছে দৌড়াচ্ছে সেটা ভেবে লাভ নাই তুমি কোথায় দৌড়াবে সেই চিন্তা কর,positive,0.4675304597105911,provided,Dhaka,1,Dhaka
after_forming_government,2540,আপনার কষ্ট দেখে আমারও কষ্ট হয় সারজিস ভাই।,sarcastic_negative,0.4308102895229139,provided,Dhaka,1,Dhaka
after_forming_government,2541,কেন তোরো কি দৌড়াতে ইচ্ছে করছে,sarcastic_negative,0.5231243912351558,provided,Dhaka,1,Dhaka
after_forming_government,2542,তুমি এক সময় এক দল থেকে অন্য দলে যাওয়ার জন্য অনেক দৌড়াদৌড়ি করেছ তা জনগন জানে।,negative,0.3817501110065445,provided,Sylhet,1,Sylhet
after_forming_government,2543,Asloye kosto dei...,sarcastic_negative,0.3891923243444017,provided,পাবনা,1,পাবনা
after_forming_government,2544,Jomadarer nati koto dorodi,neutral,0.3987675746941919,provided,Chittagong,1,Chattogram
after_forming_government,2545,বরবরা হইলে যা হয়,sarcastic_negative,0.35105557123705,provided,কুমিল্লা,1,Cumilla
after_forming_government,2546,এটা সমঝোতা করে দৌড়ানো হচ্ছিল,positive,0.4896561232456306,provided,Dhaka,1,Dhaka
after_forming_government,2547,তোমরা যে টাকা মারছো সেই গুলোর হিসাব আগে দেও,negative,0.4938127253546295,provided,Dhaka,1,Dhaka
after_forming_government,2548,"""Same,chamcahr din akhno ase nakii",neutral,0.3390955093539328,provided,Tangail,1,Tangail
after_forming_government,2549,Amkeww...boyos hoise dorte pare naa,sarcastic_negative,0.3496686253634464,provided,Mymensingh,1,Mymensingh
after_forming_government,2550,এএএএএ দালালললল,sarcastic_negative,0.4263556223850434,provided,Dhaka,1,Dhaka
after_forming_government,2551,আমিও কষ্ট পেয়েছি,negative,0.5740735583437669,provided,Dhaka,1,Dhaka
after_forming_government,2552,সতর বচ্ছর পরে আজ এত আনন্দ। আর এতে অবদান সম্পূর্ণ তোমাদের।কিন্তু তারা এটা শিকার করতে চাইনা। বাকিটা কি হয় আল্লাহ ভালো জানেন,negative,0.3891982949906732,provided,Dhaka,1,Dhaka
after_forming_government,2553,এদেশের মানুষের প্রধান লক্ষ্যই হলো বড় বড় নেতাদের পা চাটা,negative,0.3949439490620763,provided,Dhaka,1,Dhaka
after_forming_government,2554,Dolkanara comment korce ree,neutral,0.4264232060136536,provided,Dhaka,1,Dhaka
after_forming_government,2555,"""বাংলায় একটা প্রবাদ আছে : অতি বড় বড় নয় ঝড়ে ভেঙ্গে যাবে , অতি ছোট হইয়ো না তাহলে ছাগলের ৩ নং বাচ্চারা খাবে ।…",negative,0.5362609645148007,provided,পাবনা,1,পাবনা
after_forming_government,2556,আপনি সরকারী প্রটোকল পাবেননা।তাই আপনার কষ্ট হচ্ছে।,sarcastic_negative,0.5825620039543726,provided,Dhaka,1,Dhaka
after_forming_government,2557,কেন ওর যায়গায় কি আপনি দৌড়াতে চান?,sarcastic_negative,0.716523845318436,provided,Khulna,1,Khulna
after_forming_government,2558,এতো জ্বলে কেন ভাই,sarcastic_negative,0.546918579913023,provided,Dhaka,1,Dhaka
after_forming_government,2559,ওরে যে স্টেজে নীচে বসাইলো তা দেখে আমার খুব লজ্জা লাগছিল। আহারে সভাপতি!!!,negative,0.5344345105528117,provided,Tangail,1,Tangail
after_forming_government,2560,মুই কি হনু রে মোর ভাতার চৌকিদার আছনু কি হনু কি আরো যে কি হইম,positive,0.5816109781984183,provided,Dhaka,1,Dhaka
after_forming_government,2561,কেনো?,sarcastic_negative,0.515488017635577,provided,ঢাকা,1,Dhaka
after_forming_government,2562,"""মায়ে কয় না হুত, খালায় কয় বইন হুত!",neutral,0.5324661381484577,provided,Dhaka,1,Dhaka
after_forming_government,2563,"""গুটি কয়েকজন মিলে জুলাই আন্দোলন হয়নি, পুরো দেশের মানুষ কাজ করছে,ফায়দা নিচ্ছে বালচাল পুলা গুলো, ফ্যাসিস্ট তাড়াতে যারা শহীদ হয়েছে…",negative,0.371185071316251,provided,Dhaka,1,Dhaka
after_forming_government,2564,প্রধানমন্ত্রীর চেয়ারের নিচে পায়ের কাছে ছাত্রদল সভাপতিকে বসিয়ে রাখা কষ্ট দেয় না,negative,0.3070009059137794,provided,Dhaka,1,Dhaka
after_forming_government,2565,তুইও গত ১৭ বছর দৌড়ায়ছিস,sarcastic_negative,0.684432759751056,provided,Dhaka,1,Dhaka
after_forming_government,2566,এযাবৎকালে যা বলছিস তোর এই একটা কথা ভালো লাগলো,positive,0.4762450798840548,provided,Dhaka,1,Dhaka
after_forming_government,2567,ওটা নিয়ে তোমার কষ্ট নাই তোমার কষ্ট হচ্ছে তোমার পিছনে কেউ কেন দৌড়ায় না।,negative,0.5500274126979453,provided,ফেনী,1,Feni
after_forming_government,2568,তাহলে উনাকে একটি গাড়ি উপহার হিসাবে দিয়ে ! আপনাদের তো এখন টাকার কোনো অভাব নেই।,sarcastic_negative,0.3430821143194194,provided,Sylhet,1,Sylhet
after_forming_government,2569,"""উপজেলা স্বাস্থ্য কমপ্লেক্সে যোগাযোগ করুন, ভ্যাকসিনের ব্যবস্থা হয়ে যাবে",sarcastic_negative,0.3254800747997105,provided,Rajshahi,1,Rajshahi
after_forming_government,2570,"""১৮ মাসে যা লুটপাট করছো, তাতে কষ্ট দেয়না????",negative,0.5685866621785747,provided,Barisal,1,Barishal
after_forming_government,2571,ভাই তোদের মুখে এর চেয়ে ভালো মন্তব্য আশা করা যায় না!,negative,0.2785932432582657,provided,Dhaka,1,Dhaka
after_forming_government,2572,হাহাহাহহাহা,sarcastic_negative,0.3676786563147927,provided,Dhaka,1,Dhaka
after_forming_government,2573,কেন আপনি যখন ডক্টর ইউনুসের ধনে ধইরা লটকাই থাকতেন তখন কি কষ্ট হয় নাই,sarcastic_negative,0.455358783818012,provided,Comilla,1,Cumilla
