Comment,Sentiment,sentiment_confidence,sentiment_source,needs_review,auto_review_predicted,auto_review_pred_confidence,auto_review_action
জিলাপি আছে নাকি?,Negative,0.3840043469924593,model_autofill,True,Negative,0.47679987914188476,keep
"Anayet Ahamed: জি ভাই, পুরো ইফতারের সামগ্রী ছিল!!",Sarcastic_negative,0.3658751541779687,model_autofill,True,Sarcastic_negative,0.41993988037981994,keep
"হ, ঈদের দিন আজ।",Sarcastic_negative,0.3301117669670215,model_autofill,True,Sarcastic_negative,0.3318506272223638,keep
হাতিয়া ৬,Negative,0.3557953114720575,model_autofill,True,Sarcastic_negative,0.34340758580697495,keep
দুর্নীতিবাজদের রুখে দাও।,Negative,0.3686344358119767,model_autofill,True,Sarcastic_negative,0.33420162615194826,keep
দাঁড়িপাল্লায় ভোট দাও।,Neutral,0.374580994665692,model_autofill,True,Neutral,0.49170730039904365,keep
ইউরোপ-আমেরিকা-জাপান এক ই অক্ষ শক্তি।,Negative,0.3880774666674958,model_autofill,True,Negative,0.38788752689522066,keep
"এবার কি জনগণের প্রকৃত ভোটে এই শতাংশ ছাড়িয়ে যাবে? মারিক কাটিং হতে দেওয়া যাবে না। ১ ভোট হলেও সেটা হতে হবে জনগণের প্রকৃত ভোট, এছাড়া সব বৃথা।",Negative,0.3768002905195532,model_autofill,True,Negative,0.31128898676290007,keep
"প্রতারিত করেছে, তার জ্বলন্ত প্রমাণ নিচে।",Sarcastic_negative,0.3377042453642772,model_autofill,True,Negative,0.3678347762338138,keep
নুরুল হক নুরু,Negative,0.335211626748121,model_autofill,True,Negative,0.4309862483886941,keep
জিলাপি আছে নাকি?,Negative,0.3840043469924593,model_autofill,True,Negative,0.47679987914188476,keep
"Anayet Ahamed জি ভাই, পুরো ইফতারের সামগ্রী ছিল!!",Sarcastic_negative,0.3658751541779687,model_autofill,True,Sarcastic_negative,0.41993988037981994,keep
আসতো একটা গুপ্ত,Sarcastic_negative,0.3811539041618485,model_autofill,True,Sarcastic_negative,0.35383232379692603,keep
এই বয়সে এসেও প্রথম ভোট,Negative,0.3421830535533923,model_autofill,True,Negative,0.3258478323760865,keep
কচি বয়,Sarcastic_negative,0.3867651421850908,model_autofill,True,Sarcastic_negative,0.4182835542288202,keep
Batpar ageo dese,Sarcastic_negative,0.3661225557518018,model_autofill,True,Sarcastic_negative,0.4015944699247445,keep
Aaaa. Dalal,Sarcastic_negative,0.3909523524251519,model_autofill,True,Sarcastic_negative,0.4377096362161928,keep
ক্ষনিকের পোলা,Sarcastic_negative,0.3660703429910499,model_autofill,True,Sarcastic_negative,0.3789446805148708,keep
Batpar..,Sarcastic_negative,0.3528587425632625,model_autofill,True,Sarcastic_negative,0.39395456395485023,keep
