Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review,auto_review_predicted,auto_review_pred_confidence,auto_review_action
এটা আরো আনন্দের বিষয় এখানে কষ্টের কিছু নেই,Dhaka,Chittagong,Patuakhali,Negative,0.3519575157588473,model_autofill,True,Negative,0.3240408566786777,keep
এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি।,Dhaka,,,Negative,0.3293106866961357,model_autofill,True,Positive,0.6641798515866328,change
"""খনিকের ছেলে বলে কি, যে দৌড়ায় সে কষ্ট পায় না খনিকের ছেলে সার্ভিস মলম কষ্ট পায়",Dhaka,Pabna,,Sarcastic_negative,0.302059533024222,model_autofill,True,Sarcastic_negative,0.362698109343315,keep
ছাপ্রীদের কাজ তো দৌড়ানোই...,Rangpur,,,Sarcastic_negative,0.3560937053974806,model_autofill,True,Sarcastic_negative,0.3459371680198754,keep
আর কি কি তোমাকে কষ্ট দেয় মনি,Dhaka,Pabna,,Negative,0.3130327530966685,model_autofill,True,Negative,0.31133151209408005,keep
তুমি এক সময় এক দল থেকে অন্য দলে যাওয়ার জন্য অনেক দৌড়াদৌড়ি করেছ তা জনগন জানে।,Sylhet,Moulvibazar,,Negative,0.3817501110065445,model_autofill,True,Negative,0.3777666757555173,keep
বরবরা হইলে যা হয়,কুমিল্লা,Chittagong,Cumilla,Sarcastic_negative,0.35105557123705,model_autofill,True,Sarcastic_negative,0.471373604267152,keep
"""Same,chamcahr din akhno ase nakii",Tangail,,,Neutral,0.3390955093539328,model_autofill,True,Sarcastic_negative,0.3541352081161825,keep
Amkeww...boyos hoise dorte pare naa,Mymensingh,,,Sarcastic_negative,0.3496686253634464,model_autofill,True,Sarcastic_negative,0.3586139580524873,keep
"""গুটি কয়েকজন মিলে জুলাই আন্দোলন হয়নি, পুরো দেশের মানুষ কাজ করছে,ফায়দা নিচ্ছে বালচাল পুলা গুলো, ফ্যাসিস্ট তাড়াতে যারা শহীদ হয়েছে…",Dhaka,Chittagong,,Negative,0.371185071316251,model_autofill,True,Negative,0.3579682148315348,keep
প্রধানমন্ত্রীর চেয়ারের নিচে পায়ের কাছে ছাত্রদল সভাপতিকে বসিয়ে রাখা কষ্ট দেয় না,Dhaka,,,Negative,0.3070009059137794,model_autofill,True,Negative,0.301446677447447,keep
তাহলে উনাকে একটি গাড়ি উপহার হিসাবে দিয়ে ! আপনাদের তো এখন টাকার কোনো অভাব নেই।,Sylhet,,,Sarcastic_negative,0.3430821143194194,model_autofill,True,Negative,0.37144193304007683,keep
"""উপজেলা স্বাস্থ্য কমপ্লেক্সে যোগাযোগ করুন, ভ্যাকসিনের ব্যবস্থা হয়ে যাবে",Rajshahi,Sirajganj,,Sarcastic_negative,0.3254800747997105,model_autofill,True,Sarcastic_negative,0.33203886639180025,keep
ভাই তোদের মুখে এর চেয়ে ভালো মন্তব্য আশা করা যায় না!,Dhaka,Narayanganj,,Negative,0.2785932432582657,model_autofill,True,Negative,0.34846060351093816,keep
