Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
"""ওখানে ধরা খাবে তারপর সরকারিভাবে দেশের কারাগারে আসবে, দেশের আদালত মুক্ত করে দিবে। এটাই পলিটিক্স।""",Dhaka,Gazipur,,Positive,0.526541152613832,model,False
"""এভাবেই ফেরত আসবে,এটাই পলিটিক্স""",Dhaka,,,Negative,0.4920447696429382,model,False
দেশে পাঠানোর একটা বৈধ প্রক্রিয়া মাত্র...,Dhaka,Rajshahi,Gazipur,Negative,0.5184315079769414,model,False
এটা দেশে প্রবেশের একটি প্রক্রিয়া মাত্র,Dhaka,Pabna,,Negative,0.6760784441339749,model,False
"""এখন থেকে প্রায়ই শুনা যাবে গ্রেফতারের খবর,,, ভারত সরকার এখন আর সাধারণ কর্মীদের তেমন গুরুত্ব দিবে না --- যারা পালিয়ে গেছে তাদের …""",Dhaka,,,Positive,0.622208114768484,model,False
বাংলাদেশের জেল থাকতে অন্যদেশের জেলে থাকবে কেন..?,Dhaka,,,Sarcastic_negative,0.4278519461004584,model,False
ভারত কি তাহলে আওয়ামী লীগের সাথে পল্টি নিলো,Dhaka,,,Negative,0.5891172978063479,model,False
বিএনপির কাছে ভালো হওয়া আরকি।। তবে এরা ভিতরে ভালোই থাকবে কারণ ভারত হচ্ছে উমিচাঁদ এ…,Dhaka,Faridpur,,Negative,0.6326214644373612,model,False
আরও কিছু দেখার অপেক্ষায় রইলাম,ঢাকা,ব্রাহ্মণবাড়িয়া,Chittagong,Neutral,0.6474985274262862,model,False
ধন্যবাদ জানাই,Tangail,,,Positive,0.6666834766207226,model,False
খাইছে রে..,মৌলভীবাজার,Sylhet,Moulvibazar,Sarcastic_negative,0.6657383284624814,model,False
এটা ভালো,Dhaka,,,Positive,0.4186092387208109,model,False
সম্ভবত ওদের খরচ করার মতো টাকা পয়সা শেষ,রাজশাহী,Rajshahi,Cox's Bazar,Positive,0.7357006387311094,model,False
এগুলোকে এখন গ্রেফতার করবে আর আস্তে আস্তে সবগুলোকে বাংলাদেশ প্রেরণ করবে,Sylhet,,,Positive,0.6652841648702134,model,False
"""হাসিনার তো ভিসা পাসপোর্ট কিছুই নেই, তবুও এখনো ভারতে আছে কীভাবে?""",Dhaka,Gazipur,,Negative,0.5891027769223762,model,False
তাদের আর শান্তি নাই,Dhaka,,,Positive,0.692227430713956,model,False
নিজ দেশেও (ভারত) নিরাপদ নয় আওয়ামীলীগ,Chittagong,Noakhali,,Negative,0.5729013832559934,model,False
শুরু হয়েছে একে একে সবাই ধরা পড়বে,Dhaka,Mymensingh,,Sarcastic_negative,0.5922216161445213,model,False
