dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
5 Post June 2026,5_post_june_2026,0,একজনের ভাষণ আরেকজন দিলে হবে,একজনের ভাষণ আরেকজন দিলে হবে,1,0.7991916274382522
5 Post June 2026,5_post_june_2026,1,এখানে মনে হয় গরীব মানুষ কম এজন্য এজন্যই টেবিল কম চাপছে,এখানে মনে হয় গরীব মানুষ কম এজন্য এজন্যই টেবিল কম চাপছে,4,0.6768697983523075
5 Post June 2026,5_post_june_2026,2,সালাউদ্দিনের কথা বিশ্বাস করা আর ট্রেনের চাকায় হাওয়া দেওয়া একই কথা,সালাউদ্দিনের কথা বিশ্বাস করা আর ট্রেনের চাকায় হাওয়া দেওয়া একই কথা,1,0.5340711853643356
5 Post June 2026,5_post_june_2026,3,যেটা করার সেটা তো বাজেট এর আগের রাতে করে ফেলছেন।।,যেটা করার সেটা তো বাজেট এর আগের রাতে করে ফেলছেন,2,0.8641803856913586
5 Post June 2026,5_post_june_2026,4,হাসো অনুষ্ঠান থেকেও এখানে মজা বেশি হয়,হাসো অনুষ্ঠান থেকেও এখানে মজা বেশি হয়,1,0.5698533347677769
5 Post June 2026,5_post_june_2026,5,এখানে তেল মারার লোক কম ছিল তাই হাততালি দেওয়ার লোক কম ছিল,এখানে তেল মারার লোক কম ছিল তাই হাততালি দেওয়ার লোক কম ছিল,3,0.5295490581394866
5 Post June 2026,5_post_june_2026,6,এমপি মানেই কোটিপতি!!,এমপি মানেই কোটিপতি,0,0.3998767740476886
5 Post June 2026,5_post_june_2026,7,সালা উদদীন মানে বিনোদন।,সালা উদদীন মানে বিনোদন,0,0.5494467933079553
5 Post June 2026,5_post_june_2026,8,"যখন তোমাদের কেউ নামাজে দাঁড়ায়, তখন সে তার রবের সাথে গোপনে কথা বলে।”",যখন তোমাদের কেউ নামাজে দাঁড়ায় তখন সে তার রবের সাথে গোপনে কথা বলে,1,0.4737128482551086
5 Post June 2026,5_post_june_2026,9,নিত্য প্রয়োজনীয় জিনিস বিদ্যুৎ এই মাসে ডবল আসছে,নিত্য প্রয়োজনীয় জিনিস বিদ্যুৎ এই মাসে ডবল আসছে,3,0.743062284895347
5 Post June 2026,5_post_june_2026,10,৫০ কেজি চাউলে বস্তা 400 টাকা বাড়তি দিয়ে এখন কিনতে হয়,কেজি চাউলে বস্তা টাকা বাড়তি দিয়ে এখন কিনতে হয়,2,0.5147160165165975
5 Post June 2026,5_post_june_2026,11,কিন্তু বিড়ি আর গুলের উপর টেক্সট কেন বাড়লো স্যার,কিন্তু বিড়ি আর গুলের উপর টেক্সট কেন বাড়লো স্যার,3,0.7333291361988409
5 Post June 2026,5_post_june_2026,12,শুধু মুখে বললে হবে না মুখের সাথে কাজের সাথে মিল থাকতে হবে!..,শুধু মুখে বললে হবে না মুখের সাথে কাজের সাথে মিল থাকতে হবে,2,0.5012989938155008
5 Post June 2026,5_post_june_2026,13,আর এই দিগে মিটার বিল নিয়ে আহা কার,আর এই দিগে মিটার বিল নিয়ে আহা কার,2,0.3427802441872219
5 Post June 2026,5_post_june_2026,14,সংসদ ভবন নাকি সা-উ-ংসদ ভবন…,সংসদ ভবন নাকি সা উ ংসদ ভবন,4,0.866039172669758
5 Post June 2026,5_post_june_2026,15,ষাঁড় কারেন্ট থাকে না যে,ষাঁড় কারেন্ট থাকে না যে,2,0.7303415825094471
5 Post June 2026,5_post_june_2026,16,"""Comments are not just words,A great way to build relationships. Beautiful communication and positive engagement are born fr…",comments are not just words a great way to build relationships beautiful communication and positive engagement are born fr,1,0.8659421194343687
5 Post June 2026,5_post_june_2026,17,এখন সংসদ মানেই বিনোদন,এখন সংসদ মানেই বিনোদন,4,0.5389292090725024
5 Post June 2026,5_post_june_2026,18,জনাব স্বরাষ্ট্রমন্ত্রী ও শেখ হাসিনার সংসদে বক্তব্য দেওয়ার অঙ্গভঙ্গী ও কথাবার্তা অলমোস্ট একই রকম।,জনাব স্বরাষ্ট্রমন্ত্রী ও শেখ হাসিনার সংসদে বক্তব্য দেওয়ার অঙ্গভঙ্গী ও কথাবার্তা অলমোস্ট একই রকম,0,0.6473633640350652
5 Post June 2026,5_post_june_2026,19,মহান সংসদটাকে কৌতুকে যাত্রাপালা বানিয়ে ফেলছে!,মহান সংসদটাকে কৌতুকে যাত্রাপালা বানিয়ে ফেলছে,0,0.8390235327973067
5 Post June 2026,5_post_june_2026,20,কি কমায়ছেন,কি কমায়ছেন,0,0.2
